id,ActivityEquation,BikingOrdinalScaleNum,BikingOrdinalScaleCat,Biking,BoatingOrdinalScaleNum,BoatingOrdinalScaleCat,Boating,CampingOrdinalScaleNum,CampingOrdinalScaleCat,Camping,FishingOrdinalScaleNum,FishingOrdinalScaleCat,Fishing,GardeningOrdinalScaleNum,GardeningOrdinalScaleCat,Gardening,GatheringOrdinalScaleNum,GatheringOrdinalScaleCat,Gathering,HikingOrdinalScaleNum,HikingOrdinalScaleCat,Hiking,HuntingOrdinalScaleNum,HuntingOrdinalScaleCat,Hunting,JoggingOrdinalScaleNum,JoggingOrdinalScaleCat,Jogging,PhotographyOrdinalScaleNum,PhotographyOrdinalScaleCat,Photography,RelaxOthersOrdinalScaleNum,RelaxOthersOrdinalScaleCat,RelaxOthers,RelaxMyselfOrdinalScaleNum,RelaxMyselfOrdinalScaleCat,RelaxMyself,RockClimbingOrdinalScaleNum,RockClimbingOrdinalScaleCat,RockClimbing,WalkingOrdinalScaleNum,WalkingOrdinalScaleCat,Walking,WildlifeOrdinalScaleNum,WildlifeOrdinalScaleCat,Wildlife,BENE_AESTH,BENE_CREATIVE,BENE_TRADITION,BENE_FOOD,BENE_ID,BENE_LIFELESSON,BENE_MENTALWB,BENE_EXER,BENE_FUN,BENE_FAMILIAR,BENE_SOCIAL,BENE_SPIRTUAL,BENE_CARE,BENE_R_AESTH,BENE_R_CREATIVE,BENE_R_TRADITION,BENE_R_FOOD,BENE_R_ID,BENE_R_LIFELESSON,BENE_R_MENTALWB,BENE_R_EXER,BENE_R_FUN,BENE_R_FAMILIAR,BENE_R_SOCIAL,BENE_R_SPIRITUAL,BENE_R_CARE,BENE_RB_AESTH,BENE_RB_CREATIVE,BENE_RB_TRADITION,BENE_RB_FOOD,BENE_RB_ID,BENE_RB_LIFELESSON,BENE_RB_MENTALWB,BENE_RB_EXER,BENE_RB_FUN,BENE_RB_FAMILIAR,BENE_RB_SOCIAL,BENE_RB_SPIRITUAL,BENE_RB_CARE,BenefitsRank[1],BenefitsRank[2],BenefitsRank[3],Unranked,UA v. FA,Zip,LSAD10,UATYP10,GeographyCat,GeographyCatNum,GeographyCatNumInverse,Age,BirthYear,GenderCat,GenderCatNum,GenderCatNumInverse,Gender,Race/EthnicityCatNum,Race/EthnicityCatNumInverse,Race/EthnicityCat,RaceEthnicit1[SQ001],RaceEthnicit1[SQ002],RaceEthnicit1[SQ003],RaceEthnicit1[SQ004],RaceEthnicit1[SQ005],RaceEthnicit1[SQ006],RaceEthnicit7[SQ007],IncomeCat,IncomeCatNum,IncomeCatNumInverse,Income,EmploymentCatNum,EmploymentCatNumInverse,EmploymentCat,Employment[SQ001],Employment[SQ002],Employment[SQ003],Employment[SQ004],Employment[SQ005],Employment[SQ006]
19,A5  A5  A3  A5  A5  A1  A5  A5  A3  A1  A2  A5  A1  A6  A1   ,2,No change,A5,2,No change,A5,1,Less,A3,2,No change,A5,2,No change,A5,0,Doesn't do activity,A1,2,No change,A5,2,No change,A5,1,Less,A3,0,Doesn't do activity,A1,1,Less,A2,2,No change,A5,0,Doesn't do activity,A1,3,More,A6,0,Doesn't do activity,A1,6,6,7,4,7,6,7,7,7,7,4,7,7,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,A3,A5,A9,0,2,5070,99,R,Not urban area,0,1,69,1951,Male,0,1,A1,0,1,White,,,,,,,Y,Above Median Range,3,1,A6,0,1,All other fields,,,,,,Y
20,A1  A1  A1  A5  A6  A6  A7  A5  A1  A1  A1  A1  A1  A1  A8   ,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,2,No change,A5,3,More,A6,3,More,A6,3,More,A7,2,No change,A5,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,3,More,A8,7,7,7,7,7,7,7,7,6,6,7,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,0,5353,99,R,Not urban area,0,1,31,1989,Male,0,1,A1,0,1,White,,,,,,,Y,Above Median Range,3,1,A6,0,1,All other fields,,,,,Y,
22,A2  A5  A2  A5  A6  A1  A5  A7  A7  A1  A5  A6  A1  A5  A5   ,1,Less,A2,2,No change,A5,1,Less,A2,2,No change,A5,3,More,A6,0,Doesn't do activity,A1,2,No change,A5,3,More,A7,3,More,A7,0,Doesn't do activity,A1,2,No change,A5,3,More,A6,0,Doesn't do activity,A1,2,No change,A5,2,No change,A5,7,7,7,5,7,7,7,7,7,7,7,7,7,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,A3,A7,A12,0,2,5661,99,R,Not urban area,0,1,39,1981,Male,0,1,A1,0,1,White,,,,,,,Y,Above Median Range,3,1,A5,0,1,All other fields,,,Y,,,
23,A5  A6  A3  A5  A6  A1  A6  A5  A1  A6  A3  A7  A1  A6  A7   ,2,No change,A5,3,More,A6,1,Less,A3,2,No change,A5,3,More,A6,0,Doesn't do activity,A1,3,More,A6,2,No change,A5,0,Doesn't do activity,A1,3,More,A6,1,Less,A3,3,More,A7,0,Doesn't do activity,A1,3,More,A6,3,More,A7,6,5,7,7,7,4,7,7,6,7,7,7,7,1,0,2,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,A1,A3,A5,0,2,5673,99,R,Not urban area,0,1,73,1947,Male,0,1,A1,0,1,White,,,,,,,Y,Below Median Range,1,3,A2,1,0,Lost job,Y,,,,,
24,A5  A6  A2  A6  A5  A5  A4  A6  A5  A5  A2  A6  A2  A5  A5   ,2,No change,A5,3,More,A6,1,Less,A2,3,More,A6,2,No change,A5,2,No change,A5,1,Less,A4,3,More,A6,2,No change,A5,2,No change,A5,1,Less,A2,3,More,A6,1,Less,A2,2,No change,A5,2,No change,A5,7,7,7,7,7,7,7,6,7,5,7,7,7,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,A4,A7,A9,0,2,5408,75,U,Urban area,1,0,35,1985,Male,0,1,A1,0,1,White,,,,,,,Y,Above Median Range,3,1,A5,0,1,All other fields,,,,,Y,
25,A6  A5  A1  A6  A5  A5  A5  A6  A5  A1  A5  A6  A6  A5  A1   ,3,More,A6,2,No change,A5,0,Doesn't do activity,A1,3,More,A6,2,No change,A5,2,No change,A5,2,No change,A5,3,More,A6,2,No change,A5,0,Doesn't do activity,A1,2,No change,A5,3,More,A6,3,More,A6,2,No change,A5,0,Doesn't do activity,A1,7,6,7,6,7,7,7,7,7,7,7,7,7,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,A4,A8,A7,0,2,5489,99,R,Not urban area,0,1,42,1978,Male,0,1,A1,0,1,White,,,,,,,Y,Above Median Range,3,1,A5,0,1,All other fields,,,,,,Y
29,A6  A1  A1  A1  A1  A1  A5  A1  A1  A1  A2  A8  A1  A7  A8   ,3,More,A6,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,2,No change,A5,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,1,Less,A2,3,More,A8,0,Doesn't do activity,A1,3,More,A7,3,More,A8,7,6,4,1,7,7,7,7,7,7,4,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,0,5672,99,R,Not urban area,0,1,61,1959,Female,1,0,A2,0,1,White,,,,,,,Y,99,99,99,99,0,1,All other fields,,,,,,Y
31,A7  A1  A5  A7  A6  A1  A6  A5  A7  A1  A6  A6  A1  A6  A1   ,3,More,A7,0,Doesn't do activity,A1,2,No change,A5,3,More,A7,3,More,A6,0,Doesn't do activity,A1,3,More,A6,2,No change,A5,3,More,A7,0,Doesn't do activity,A1,3,More,A6,3,More,A6,0,Doesn't do activity,A1,3,More,A6,0,Doesn't do activity,A1,7,5,6,6,6,6,6,5,6,6,6,6,6,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,1,A9,A5,A13,0,1,5446,75,U,Urban area,1,0,35,1985,Male,0,1,A1,0,1,White,,,,,,,Y,Above Median Range,3,1,A7,0,1,All other fields,,,,,Y,
32,A1  A5  A5  A6  A5  A5  A7  A7  A1  A1  A1  A5  A1  A5  A6   ,0,Doesn't do activity,A1,2,No change,A5,2,No change,A5,3,More,A6,2,No change,A5,2,No change,A5,3,More,A7,3,More,A7,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,2,No change,A5,0,Doesn't do activity,A1,2,No change,A5,3,More,A6,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,A4,A3,A11,0,3,5826,99,R,Not urban area,0,1,29,1991,Male,0,1,A1,0,1,White,,,,,,,Y,Below Median Range,1,3,A3,0,1,All other fields,,,,,Y,
33,A1  A5  A1  A1  A7  A1  A5  A1  A8  A1  A8  A8  A1  A6  A5   ,0,Doesn't do activity,A1,2,No change,A5,0,Doesn't do activity,A1,0,Doesn't do activity,A1,3,More,A7,0,Doesn't do activity,A1,2,No change,A5,0,Doesn't do activity,A1,3,More,A8,0,Doesn't do activity,A1,3,More,A8,3,More,A8,0,Doesn't do activity,A1,3,More,A6,2,No change,A5,4,3,2,1,4,4,7,7,5,5,6,3,3,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,A8,A7,A9,0,1,5676,76,C,Not urban area,0,1,27,1993,Female,1,0,A2,1,0,All but white,,,,Y,,,,Below Median Range,1,3,A3,0,1,All other fields,,Y,,,,
34,A5  A1  A1  A1  A6  A1  A7  A1  A1  A1  A7  A7  A1  A7  A1   ,2,No change,A5,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,3,More,A6,0,Doesn't do activity,A1,3,More,A7,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,3,More,A7,3,More,A7,0,Doesn't do activity,A1,3,More,A7,0,Doesn't do activity,A1,7,4,4,2,7,6,6,6,7,5,6,5,6,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,0,5676,76,C,Not urban area,0,1,39,1981,Male,0,1,A1,0,1,White,,,,,,,Y,Above Median Range,3,1,A5,0,1,All other fields,,,Y,,,
35,A5  A5  A5  A7  A7  A7  A6  A7  A6  A5  A5  A5  A1  A6  A6   ,2,No change,A5,2,No change,A5,2,No change,A5,3,More,A7,3,More,A7,3,More,A7,3,More,A6,3,More,A7,3,More,A6,2,No change,A5,2,No change,A5,2,No change,A5,0,Doesn't do activity,A1,3,More,A6,3,More,A6,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,A4,99,99,0,3,5680,99,R,Not urban area,0,1,29,1991,Male,0,1,A1,0,1,White,,,,,,,Y,Below Median Range,1,3,A2,0,1,All other fields,,Y,,,,
36,A1  A3  A3  A3  A6  A4  A4  A5  A5  A1  A2  A3  A1  A5  A5   ,0,Doesn't do activity,A1,1,Less,A3,1,Less,A3,1,Less,A3,3,More,A6,1,Less,A4,1,Less,A4,2,No change,A5,2,No change,A5,0,Doesn't do activity,A1,1,Less,A2,1,Less,A3,0,Doesn't do activity,A1,2,No change,A5,2,No change,A5,7,6,7,7,7,7,7,7,7,7,7,6,7,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,A5,A7,A11,0,1,5154,99,R,Not urban area,0,1,29,1991,Male,0,1,A1,0,1,White,,,,,,,Y,Below Median Range,1,3,A3,0,1,All other fields,,Y,,,,
37,A2  A3  A1  A1  A5  A1  A5  A1  A1  A5  A5  A5  A1  A5  A5   ,1,Less,A2,1,Less,A3,0,Doesn't do activity,A1,0,Doesn't do activity,A1,2,No change,A5,0,Doesn't do activity,A1,2,No change,A5,0,Doesn't do activity,A1,0,Doesn't do activity,A1,2,No change,A5,2,No change,A5,2,No change,A5,0,Doesn't do activity,A1,2,No change,A5,2,No change,A5,7,7,5,4,7,6,6,7,7,7,7,7,7,3,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,A10,A8,A1,0,1,5843,99,R,Not urban area,0,1,75,1945,Male,0,1,A1,0,1,White,,,,,,,Y,Below Median Range,1,3,A3,0,1,All other fields,,,,,,Y
40,A1  A5  A3  A5  A8  A5  A3  A7  A7  A6  A6  A4  A2  A1  A1   ,0,Doesn't do activity,A1,2,No change,A5,1,Less,A3,2,No change,A5,3,More,A8,2,No change,A5,1,Less,A3,3,More,A7,3,More,A7,3,More,A6,3,More,A6,1,Less,A4,1,Less,A2,0,Doesn't do activity,A1,0,Doesn't do activity,A1,7,7,7,7,7,7,7,7,7,7,7,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,0,5732,99,R,Not urban area,0,1,40,1980,Male,0,1,A1,0,1,White,,,,,,,Y,Above Median Range,3,1,A5,0,1,All other fields,,Y,,,,
42,A5  A1  A2  A2  A5  A3  A2  A1  A1  A8  A2  A7  A5  A8  A6   ,2,No change,A5,0,Doesn't do activity,A1,1,Less,A2,1,Less,A2,2,No change,A5,1,Less,A3,1,Less,A2,0,Doesn't do activity,A1,0,Doesn't do activity,A1,3,More,A8,1,Less,A2,3,More,A7,2,No change,A5,3,More,A8,3,More,A6,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,A5,A8,A12,0,1,5819,76,C,Not urban area,0,1,68,1952,Female,1,0,A2,0,1,White,,,,,,,Y,Below Median Range,1,3,A2,0,1,All other fields,,,,,,Y
44,A1  A1  A1  A1  A8  A1  A6  A1  A1  A6  A7  A7  A1  A8  A7   ,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,3,More,A8,0,Doesn't do activity,A1,3,More,A6,0,Doesn't do activity,A1,0,Doesn't do activity,A1,3,More,A6,3,More,A7,3,More,A7,0,Doesn't do activity,A1,3,More,A8,3,More,A7,7,7,7,6,6,6,7,7,7,7,6,7,7,1,0,0,2,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,A1,A4,A12,0,2,5641,76,C,Not urban area,0,1,53,1967,Female,1,0,A2,0,1,White,,,,,,,Y,Above Median Range,3,1,A5,0,1,All other fields,,,,Y,,
47,A5  A1  A1  A1  A1  A1  A1  A1  A5  A1  A6  A1  A1  A6  A5   ,2,No change,A5,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,2,No change,A5,0,Doesn't do activity,A1,3,More,A6,0,Doesn't do activity,A1,0,Doesn't do activity,A1,3,More,A6,2,No change,A5,6,5,5,4,5,5,6,5,5,6,5,5,5,1,0,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,A1,A7,A10,0,1,5676,76,C,Not urban area,0,1,67,1953,Female,1,0,A2,0,1,White,,,,,,,Y,Median Range,2,2,A4,0,1,All other fields,,,,,,Y
48,A5  A5  A2  A1  A1  A1  A5  A1  A1  A5  A5  A5  A1  A5  A5   ,2,No change,A5,2,No change,A5,1,Less,A2,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,2,No change,A5,0,Doesn't do activity,A1,0,Doesn't do activity,A1,2,No change,A5,2,No change,A5,2,No change,A5,0,Doesn't do activity,A1,2,No change,A5,2,No change,A5,7,6,6,1,7,7,7,7,7,7,7,7,7,1,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,A1,A7,A12,0,1,5672,99,R,Not urban area,0,1,66,1954,Female,1,0,A2,0,1,White,,,,,,,Y,Above Median Range,3,1,A5,0,1,All other fields,,,,,,Y
49,A1  A1  A1  A1  A1  A1  A1  A1  A1  A5  A1  A1  A1  A5  A5   ,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,2,No change,A5,0,Doesn't do activity,A1,0,Doesn't do activity,A1,0,Doesn't do activity,A1,2,No change,A5,2,No change,A5,6,6,7,2,7,7,7,4,4,7,6,6,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,A8,A7,99,0,1,5036,99,R,Not urban area,0,1,61,1959,Female,1,0,A2,0,1,White,,,,,,,Y,Above Median Range,3,1,A6,0,1,All other fields,,,,,,Y
